species,flower_color,flower_shape,pollination_guild,pollination_notes,mating_system,self_incompatibility,evidence_type,confidence
Catharanthus ovalis Markgr.,pink to white,actinomorphic tubular,insects,Apocynaceae; bee/ butterfly visitors,mixed_mating,likely_SC,inference,medium
Craspidospermum verticillatum Bojer ex Decne.,white,small tubular,insects,Apocynaceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Erythroxylum sphaeranthum H.Perrier,white,small actinomorphic,bees,Erythroxylaceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Liparis longicaulis Ridl.,greenish,small orchid,flies,Liparis often autogamous or fly-pollinated,mixed_mating,likely_SC,review;inference,medium
Malleastrum gracile Leroy,white,actinomorphic,insects,Meliaceae insect pollination,mixed_mating,likely_SC,inference,low
Pachypodium densiflorum Baker,yellow,actinomorphic,insects,Bee-visited Apocynaceae succulent,mixed_mating,likely_SC,review;inference,medium
Wielandia elegans Baill.,greenish,unisexual flowers,flies,Phyllanthaceae; dioecious insect-pollinated,obligate_outcrossing,SI,inference;review,medium
Tetrapterocarpon geayi Humbert,yellow,actinomorphic,bees,Caesalpinioid legume; insect-pollinated,mixed_mating,likely_SC,inference,medium
Ischnolepis graminifolia (Costantin & Gallaud) Klack.,white,tubular,moths,Apocynaceae; likely nocturnal pollinated,mixed_mating,likely_SC,inference,low
Jumellea densefoliata Senghas,white,spurred orchid,moths,Hawkmoth-pollinated,obligate_outcrossing,unknown,review;inference,medium
Polyscias boivinii (Seem.) Bernardi,white,umbellate,insects,Araliaceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Angraecum ankeranense H.Perrier,white,spurred orchid,moths,Specialized long-spur hawkmoth pollination,obligate_outcrossing,unknown,review;inference,medium
Bakerella Tiegh.,yellow,mistletoe flowers,insects,Loranthaceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Craterispermum Benth.,white,rubiaceous,insects,Rubiaceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Acridocarpus excelsus A.Juss.,yellow,actinomorphic,bees,Malpighiaceae; bee-pollinated,mixed_mating,likely_SC,inference,medium
Danais Comm. ex Vent.,white,small tubular,insects,Rubiaceae; insect visitors,mixed_mating,likely_SC,inference,medium
Dialium madagascariense Baill.,yellowish,small flowers,insects,Legume tree; insect-pollinated,mixed_mating,likely_SC,inference,medium
Macphersonia gracilis O.Hoffm.,white,actinomorphic,insects,Sapindaceae; insect-pollinated,mixed_mating,likely_SC,inference,low
Mascarenhasia A.DC.,white,tubular,moths,Apocynaceae genus; moth-pollination common,mixed_mating,likely_SI,inference,medium
Terminalia boivinii Tul.,white,spike-like inflorescences,insects,Combretaceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Angraecum caricifolium H.Perrier,white,long-spurred orchid,moths,Hawkmoth pollination syndrome,obligate_outcrossing,unknown,review;inference,medium
Smilax anceps Willd.,greenish,small unisexual,insects,Smilax insect-pollinated; dioecious,obligate_outcrossing,SI,review;inference,medium
Turraea sericea Sm.,white,small tubular,insects,Meliaceae; bee-pollinated,mixed_mating,likely_SC,inference,medium
Calantica cerasifolia (Vent.) Tul.,white,actinomorphic,insects,Salicaceae; insect pollination,mixed_mating,likely_SC,inference,medium
Landolphia P.Beauv.,white,tubular,insects,Apocynaceae climber; bee/moth visitors,mixed_mating,likely_SC,inference,medium
Olax dissitiflora Oliv.,white,actinomorphic,insects,Olacaceae insect-pollinated,mixed_mating,likely_SC,inference,low
Voacanga thouarsii Roem. & Schult.,white,tubular fragrant,moths,Nocturnal moth visitors; Apocynaceae,mixed_mating,likely_SI,inference,medium
Adansonia grandidieri Baill.,white,large nocturnal,bats,Baobab; classic bat-pollinated,obligate_outcrossing,SI,review,high
Adansonia za Baill.,white,large nocturnal,bats,Bat pollination syndrome,obligate_outcrossing,SI,review,high
Diospyros crassifolia Linan,white,tubular,bees,Dioecious Ebenaceae; SI,obligate_outcrossing,SI,review;inference,high
Commiphora grandifolia Engl.,greenish,small scented,flies,Burseraceae; fly/bee-pollinated,mixed_mating,likely_SC,inference,medium
Cordyla madagascariensis R.Vig.,yellow,papilionoid,bees,Fabaceae; bee-pollinated,mixed_mating,likely_SC,inference,medium
Bulbophyllum sphaerobulbum H.Perrier,yellow,small orchid,flies,Fly-pollinated; some autogamy,mixed_mating,likely_SC,inference,low
Cissus microdonta (Baker) Planch.,greenish,reduced vine flowers,insects,Vitaceae; insect-pollinated,mixed_mating,likely_SC,inference,low
Croton hypochalibaeus Baill.,yellow,small unisexual,flies,Euphorbiaceae,mixed_mating,likely_SC,inference,medium
Landolphia myrtifolia (Poir.) Markgr.,white,tubular,insects,Apocynaceae; insect visitors,mixed_mating,likely_SC,inference,medium
Malleastrum (Baill.) J.-F.Leroy,white,actinomorphic,insects,Insect-pollinated tree,mixed_mating,likely_SC,inference,low
Pittosporum ochrosiifolium Bojer,white,fragrant tubular,moths,Pittosporum often moth/bee pollinated,mixed_mating,likely_SC,inference,medium
Saldinia axillaris (Lam. ex Poir.) Bremek.,white,small rubiaceous,insects,Rubiaceae,mixed_mating,likely_SC,inference,medium
Colea Bojer ex Meisn.,white,tubular,moths,Apocynaceae; moth-pollinated,mixed_mating,likely_SI,inference,medium
Leptolaena pauciflora Baker,yellow,actinomorphic,bees,Sarcolaenaceae; bee-pollinated,mixed_mating,likely_SC,review;inference,medium
Poupartia chapelieri (Guillaumin) H.Perrier,greenish,small,insects,Anacardiaceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Wielandia bojeriana (Baill.) Petra Hoffm. & McPherson,greenish,unisexual,flies,Phyllanthaceae; dioecious,obligate_outcrossing,SI,inference;review,medium
Byttneria voulily Baill.,white,malvaceous actinomorphic,bees,Malvaceae; bee-pollinated,mixed_mating,likely_SC,inference,medium
Diospyros pervilleana (Baill.) G.E.Schatz & Lowry,white,tubular,bees,Dioecious Ebenaceae; SI,obligate_outcrossing,SI,review,high
Gaertnera phyllostachya Baker,white,rubiaceous,insects,Insect visitation typical,mixed_mating,likely_SC,inference,medium
Garcinia orthoclada Baker,yellow,unisexual resinous,flies,Clusiaceae; insect-pollinated; dioecious,obligate_outcrossing,SI,review;inference,medium
Tristellateia madagascariensis Poir.,yellow,actinomorphic,bees,Malpighiaceae; bee-pollinated,mixed_mating,likely_SC,inference,medium
Diospyros comorensis Hiern,white,tubular,bees,Dioecious Ebenaceae; SI,obligate_outcrossing,SI,review,high
Dracaena xiphophylla Baker,greenish,actinomorphic,insects,Asparagaceae; insect visitors,mixed_mating,likely_SC,inference,medium
Aeranthes adenopoda H.Perrier,white,long-spurred orchid,moths,Hawkmoth pollination,obligate_outcrossing,unknown,review;inference,medium
Agelaea pentagyna (Lam.) Baill.,yellow,actinomorphic,bees,Connaraceae; bee-pollinated,mixed_mating,likely_SC,inference,medium
Leptaulus citrioides Baill.,white,actinomorphic,insects,Rubiaceae,mixed_mating,likely_SC,inference,low
Oncostemum botryoides Baker,white,rubiaceous,insects,Insect-pollinated,mixed_mating,likely_SC,inference,medium
Panicum brevifolium L.,none,grass spikelet,wind,Poaceae,mixed_mating,unknown,flora,high
Petchia madagascariensis (A.DC.) Leeuwenb.,white,tubular,insects,Apocynaceae,mixed_mating,likely_SC,inference,medium
Vaccinium madagascariense (Thouars ex Poir.) Sleumer,white,urn-shaped,bees,Buzz-pollination typical,obligate_outcrossing,likely_SI,review;inference,medium
Claoxylon monoicum Baill.,greenish,unisexual,flies,Euphorbiaceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Grewia triflora (Bojer) Walp.,yellow,actinomorphic,bees,Malvaceae; bee-pollinated,mixed_mating,likely_SC,inference,medium
Lygodium lanceolatum Desv.,none,fern,unknown,Ferns have no flowers,unknown,unknown,flora,high
Mendoncia Vell. ex Vand.,blue to white,tubular,birds/bees,Acanthaceae often bird-pollinated,mixed_mating,likely_SC,inference,medium
Stenochlaena tenuifolia (Desv.) T.Moore,none,fern,unknown,Ferns lack flowering structures,unknown,unknown,flora,high
Diospyros clusiifolia (Hiern) G.E.Schatz & Lowry,white,tubular,bees,Dioecious Ebenaceae; SI,obligate_outcrossing,SI,review,high
Macaranga obovata Boivin ex Baill.,greenish,unisexual,flies,Euphorbiaceae; insect-pollination,mixed_mating,likely_SC,inference,medium
Pachypodium rutenbergianum Vatke,yellow,actinomorphic,insects,Apocynaceae succulent; bee-pollinated,mixed_mating,likely_SC,review;inference,medium
Potameia Thouars,yellowish,actinomorphic,insects,Lauraceae-like insect pollination,mixed_mating,likely_SC,inference,low
Dillenia triquetra (Rottb.) Gilg,white,large actinomorphic,bees,Dilleniaceae; buzz-pollinated,mixed_mating,likely_SC,review;inference,medium
Gaertnera macrostipula Baker,white,rubiaceous,insects,Rubiaceae; insect-pollination,mixed_mating,likely_SC,inference,medium
Polycardia lateralis O.Hoffm.,white,small,insects,Rubiaceae; insect visitors,mixed_mating,likely_SC,inference,low
Hyphaene coriacea Gaertn.,none,palm inflorescences,wind,Wind/insect mixed pollination,mixed_mating,likely_SC,review;inference,medium
Sclerocarya birrea subsp. caffra (Sond.) Kokwaro,yellow,unisexual,insects,Anacardiaceae; insect-pollination,mixed_mating,likely_SC,review;inference,medium
Aerangis articulata (Rchb.f.) Schltr.,white,spurred orchid,moths,Hawkmoth-pollinated,obligate_outcrossing,unknown,review;inference,medium
Carissa spinarum L.,white,fragrant tubular,moths,Apocynaceae; nocturnal pollination,mixed_mating,likely_SC,inference,medium
Dioscorea maciba Jum. & H.Perrier,greenish,inconspicuous,insects,Dioscorea insect-pollinated,mixed_mating,likely_SC,inference,medium
Macaranga macropoda Baker,greenish,unisexual,flies,Euphorbiaceae,mixed_mating,likely_SC,inference,medium
Paropsia edulis Thouars,white,actinomorphic,insects,Passifloraceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Stereospermum euphorioides (Bojer) DC.,yellow to orange,long tubular,bees,Bignoniaceae; bee/hawk moth visitors,mixed_mating,likely_SC,inference,medium
Angraecum panicifolium H.Perrier,white,long-spurred orchid,moths,Hawkmoth specialist,obligate_outcrossing,unknown,review;inference,medium
Combretum grandidieri Drake,red,tubular,birds,Red flowers typical of bird pollination,obligate_outcrossing,unknown,review;inference,medium
Erythroxylum ferrugineum Cav.,white,small flowers,bees,Insect-pollinated,mixed_mating,likely_SC,inference,medium
Erythroxylum nitidulum Baker,white,small,bees,Erythroxylaceae,mixed_mating,likely_SC,inference,medium
Gambeya boiviniana Pierre,white,actinomorphic,insects,Sapotaceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
SH1275105.09FU,unknown,unknown,unknown,Unknown taxon,unknown,unknown,inference,low
Schizolaena Thouars,yellow,actinomorphic,bees,Sarcolaenaceae; bee-pollinated,mixed_mating,likely_SC,review;inference,medium
Tetracera rutenbergii Buchenau,white,climbing actinomorphic,bees,Dilleniaceae; bee-pollinated,mixed_mating,likely_SC,inference,medium
Alchornea alnifolia (Bojer ex Baill.) Pax & K.Hoffm.,greenish,unisexual,wind,Euphorbiaceae; wind/insect mix,mixed_mating,likely_SC,inference,medium
Bulbophyllum masoalanum Schltr.,yellow,small orchid,flies,Fly-pollination; some autogamy,mixed_mating,likely_SC,inference,low
Coptosperma nigrescens Hook.f.,white,small rubiaceous,insects,Rubiaceae,mixed_mating,likely_SC,inference,medium
Ficus brachyclada Baker,greenish,syconium,insects,Fig–fig wasp mutualism,obligate_outcrossing,SI,review,high
Ficus sycomorus L.,greenish,syconium,insects,Fig-wasp obligate pollination,obligate_outcrossing,SI,review,high
Tina thouarsiana (Cambess.) Capuron,white,rubiaceous,insects,Insect-pollinated,mixed_mating,likely_SC,inference,medium
Anthostema madagascariense Baill.,greenish,unisexual,flies,Euphorbiaceae,mixed_mating,likely_SC,inference,medium
Capurodendron Aubrév.,white,actinomorphic,insects,Sapotaceae,mixed_mating,likely_SC,inference,medium
Gnidia daphnifolia L.fil.,white,tubular,moths,Thymelaeaceae; nocturnal visitors,mixed_mating,likely_SC,inference,medium
Nepenthes madagascariensis Poir.,red to green,non-floral inflorescences,flies,Carnivorous plant; insect-pollinated,mixed_mating,likely_SC,inference,medium
Rourea orientalis Baill.,white,actinomorphic,insects,Connaraceae,mixed_mating,likely_SC,inference,medium
Schismatoclada psychotrioides Baker,white,rubiaceous,insects,Rubiaceae,mixed_mating,likely_SC,inference,medium
Wielandia oblongifolia (Baill.) Petra Hoffm. & McPherson,greenish,unisexual,flies,Phyllanthaceae; dioecious,obligate_outcrossing,SI,review;inference,medium
Angraecum teretifolium Ridl.,white,long-spurred orchid,moths,Hawkmoth-pollinated orchid,obligate_outcrossing,unknown,review;inference,medium
Canarium lamianum Daly,greenish,small actinomorphic,insects,Burseraceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Dioscorea soso Jum. & H.Perrier,greenish,small unisexual,insects,Yam species; insect pollination typical,mixed_mating,likely_SC,inference,medium
Mimusops capuronii Aubrév.,white,actinomorphic fragrant,insects,Sapotaceae; bee/moth visitors,mixed_mating,likely_SC,inference,medium
Paracephaelis sericea (Arènes) De Block,white,rubiaceous,insects,Rubiaceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Protium madagascariense Engl.,greenish,small scented,flies,Burseraceae resinous flowers; fly/bee pollination,mixed_mating,likely_SC,inference,medium
Pyrostria media (A.Rich. ex DC.) Kainul. & Razafim.,white,small rubiaceous,insects,Rubiaceae typical insect pollination,mixed_mating,likely_SC,inference,medium
Rhopalocarpus randrianaivoi G.E.Schatz & Lowry,greenish,small actinomorphic,insects,Monimiaceae-like insect pollination,mixed_mating,likely_SC,inference,low
Crateva excelsa Bojer,white to yellow,showy actinomorphic,bees,Capparaceae; strong bee visitation,mixed_mating,likely_SC,review;inference,medium
Rhopalocarpus lucidus Bojer,greenish,small,insects,Insect-pollinated tree,mixed_mating,likely_SC,inference,medium
Grevea madagascariensis Baill.,white,actinomorphic,insects,Montiniaceae; insect visitors,mixed_mating,likely_SC,inference,low
Microcoelia macrantha (H.Perrier) Summerh.,white,minute orchid,flies,Leafless epiphytic orchid; fly-pollinated,mixed_mating,likely_SC,inference;review,medium
Rhodocolea Baill.,white,tubular,moths,Bignoniaceae relative; nocturnal/moth visitors,mixed_mating,likely_SC,inference,medium
Cinnamosma fragrans Baill.,yellowish,small actinomorphic,insects,Canellaceae aromatic flowers,mixed_mating,likely_SC,inference,medium
Cnestis polyphylla Lam.,yellowish,actinomorphic,bees,Connaraceae; bee-pollinated,mixed_mating,likely_SC,inference,medium
Emilia humifusa DC.,purple,composite capitulum,insects,Asteraceae; generalist insect pollination,mixed_mating,likely_SC,review;inference,medium
Ilex mitis (L.) Radlk.,greenish,unisexual small,insects,Aquifoliaceae; insect pollination; dioecious,obligate_outcrossing,SI,review;inference,medium
Polysphaeria Hook.f.,white,rubiaceous,insects,Rubiaceae insect-pollinated,mixed_mating,likely_SC,inference,low
Wielandia platyrachis (Baill.) Petra Hoffm. & McPherson,greenish,unisexual,flies,Phyllanthaceae; dioecious,obligate_outcrossing,SI,review;inference,medium
Angraecum bicallosum H.Perrier,white,long-spurred orchid,moths,Hawkmoth-pollinated,obligate_outcrossing,unknown,review;inference,medium
Croton chrysodaphne Baill.,yellow,unisexual euphorb,insects,Croton insect pollination; often self-compatible,mixed_mating,likely_SC,inference,medium
Styppeiochloa hitchcockii (A.Camus) Cope,none,grass spikelet,wind,Poaceae; wind-pollinated,mixed_mating,unknown,flora,high
Uapaca Baill.,greenish,unisexual,insects,Dioecious Phyllanthaceae,obligate_outcrossing,SI,review;inference,medium
Asteropeia multiflora Thouars,white,actinomorphic,insects,Asteropeiaceae; insect-pollination,mixed_mating,likely_SC,inference,medium
Carphalea pervilleana Baill.,white,rubiaceous,insects,Rubiaceae,mixed_mating,likely_SC,inference,medium
Cynorkis flexuosa Lindl.,pink,orchid zygomorphic,bees,Cynorkis often bee-visited; some autogamy,mixed_mating,likely_SC,review;inference,medium
Bauhinia grandidieri Baill.,white,papilionoid,bees,Fabaceae Bauhinia; bee-pollinated,mixed_mating,likely_SC,inference,medium
Chadsia versicolor Bojer,yellow,actinomorphic,bees,Fabaceae-like bee pollination,mixed_mating,likely_SC,inference,medium
Xylopia bemarivensis Diels,yellow,ancestral magnoliid,beetles,Annonaceae; beetle pollination common,mixed_mating,likely_SC,review;inference,medium
Cedrelopsis grevei Baill. & Courchet,white,small,insects,Ptaeroxylaceae insect visitors,mixed_mating,likely_SC,inference,medium
Chapelieria A.Rich. ex DC.,white,rubiaceous,insects,Insect-pollinated Rubiaceae,mixed_mating,likely_SC,inference,medium
Dilobeia thouarsii Roem. & Schult.,greenish,actinomorphic,insects,Proteaceae; insect-pollination,mixed_mating,likely_SC,inference,medium
Tisonia coriacea Scott Elliot.,white,actinomorphic,insects,Sapotaceae,mixed_mating,likely_SC,inference,low
Tricalysia analamazaotrensis Homolle ex Ranariv. & De Block,white,rubiaceous,insects,Rubiaceae,mixed_mating,likely_SC,inference,medium
Brexia madagascariensis (Lam.) Thouars ex Ker Gawl.,white,actinomorphic,insects,Celastraceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Chassalia princei (Dubard & Dop) Bremek.,white,rubiaceous,insects,Rubiaceae,mixed_mating,likely_SC,inference,medium
Oldenlandia herbacea (L.) Roxb.,white,small rubiaceous,insects,Generalist insect visitors,mixed_mating,likely_SC,inference,medium
Vepris boiviniana (Baill.) Mziray,white,actinomorphic,insects,Rutaceae; insect pollination,mixed_mating,likely_SC,inference,medium
Breonia A.Rich.,white,rubiaceous,insects,Rubiaceae tree; insect pollination,mixed_mating,likely_SC,inference,medium
Diospyros olivieri Linan,white,tubular dioecious,bees,Dioecious Ebenaceae; SI,obligate_outcrossing,SI,review;inference,high
Diospyros subacuta Hiern,white,tubular,bees,Dioecious; obligate outcrossing,obligate_outcrossing,SI,review;inference,high
Gaertnera guillotii Hochr.,white,rubiaceous,insects,Rubiaceae insect visitors,mixed_mating,likely_SC,inference,medium
Labramia A.DC.,white,actinomorphic,insects,Sapotaceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Psychotria ankafinensis (K.Schum.) A.P.Davis & Govaerts,white,rubiaceous,insects,Psychotria insect visitors,mixed_mating,likely_SC,inference,medium
Amyrea humbertii Leandri,white,small,insects,Sapotaceae,mixed_mating,likely_SC,inference,low
Brexiella H.Perrier,white,actinomorphic,insects,Celastraceae,mixed_mating,likely_SC,inference,medium
Diospyros betamponensis G.E.Schatz & Lowry,white,tubular,bees,Dioecious Ebenaceae; SI,obligate_outcrossing,SI,review,high
Ravenea madagascariensis Becc.,none,palm inflorescences,wind,Arecaceae; wind/insect,mixed_mating,likely_SC,review;inference,medium
Syzygium bernieri (Drake) Labat & G.E.Schatz,white,actinomorphic,insects,Myrtaceae; bee-pollinated,mixed_mating,likely_SC,review;inference,medium
Delonix boiviniana (Baill.) Capuron,yellow,papilionoid,bees,Caesalpinioideae; bee pollination,mixed_mating,likely_SC,review;inference,medium
Drypetes perrieri Leandri ex Humbert,greenish,unisexual,flies,Putranjivaceae insect-pollinated,mixed_mating,likely_SC,inference,medium
Leptadenia madagascariensis Decne.,white,tubular apocynoid,moths,Apocynaceae; nocturnal moth pollination,mixed_mating,likely_SC,inference,medium
Noronhia louvelii H.Perrier,greenish,small 4-merous,insects,Oleaceae; insect pollination,mixed_mating,likely_SC,inference,medium
Thecacoris perrieri Leandri,greenish,unisexual,flies,Phyllanthaceae,mixed_mating,likely_SC,inference,medium
Tina striata Radlk.,white,rubiaceous,insects,Rubiaceae,mixed_mating,likely_SC,inference,medium
Angraecum conchoglossum Schltr.,white,spurred orchid,moths,Hawkmoth-pollinated,obligate_outcrossing,unknown,review;inference,medium
Antherotoma naudinii Hook.fil.,purple,actinomorphic melastome,bees,Buzz-pollinated Melastomataceae,mixed_mating,likely_SC,review;inference,medium
Tachiadenus carinatus (Desr.) Griseb.,white,tubular,insects,Gentianaceae; bee-moth visitors,mixed_mating,likely_SC,inference,medium
Turraea pervillei Baill.,white,tubular,insects,Meliaceae,mixed_mating,likely_SC,inference,medium
Mendoncia cowanii (S.Moore) Benoist,blue to white,tubular,birds,Acanthaceae; bird/bee pollinated,mixed_mating,likely_SC,inference,medium
Paracephaelis cinerea (A.Rich. ex DC.) De Block,white,rubiaceous,insects,Rubiaceae,mixed_mating,likely_SC,inference,medium
Polyscias madagascariensis (Seem.) Harms,white,umbellate,insects,Araliaceae,mixed_mating,likely_SC,inference,medium
Saldinia proboscidea Hochr.,white,rubiaceous,insects,Rubiaceae,mixed_mating,likely_SC,inference,medium
Stephanodaphne geminata H.Perrier ex Leandri,white,tubular thymelaeaceous,moths,Thymelaeaceae; nocturnal scent,mixed_mating,likely_SC,inference,medium
Bivinia jalbertii Tul.,white,actinomorphic,insects,Salicaceae; insect-pollinated,mixed_mating,likely_SC,inference,medium
Ficus menabeensis H.Perrier,greenish,syconium,insects,Fig–fig wasp system,obligate_outcrossing,SI,review,high
Floscopa glomerata (Willd. ex Schult. & Schult.f.) Hassk.,blue,zygomorphic commelinaceae,insects,Bee-pollinated,mixed_mating,likely_SC,inference,medium
Grewia picta Baill.,yellow,actinomorphic,bees,Malvaceae,mixed_mating,likely_SC,inference,medium
Paederia grandidieri Drake,white,tubular,insects,Rubiaceae climbing species; insect-pollinated,mixed_mating,likely_SC,inference,medium
Xerophyta dasylirioides Baker,none,non-floral (Velloziaceae),unknown,Flowers present but poorly known; likely insect,mixed_mating,unknown,inference,low
Aloe divaricata A.Berger,orange,tubular,birds,Aloe bird-pollination syndrome,obligate_outcrossing,likely_SI,review;inference,medium
Cinnamosma Baill.,yellowish,actinomorphic,insects,Canellaceae; aromatic flowers,mixed_mating,likely_SC,inference,medium
Garcinia pervillei (Planch. & Triana) Vesque,yellow,unisexual,flies,Clusiaceae; dioecious insect-pollinated,obligate_outcrossing,SI,review;inference,medium
Loeseneriella urceolus (Tul.) N.Hallé,white,urceolate,insects,Celastraceae,mixed_mating,likely_SC,inference,medium
Aloe capitata Baker,orange to red,tubular,birds,Sunbird-pollinated Aloe,obligate_outcrossing,likely_SI,review;inference,medium
Celtis madagascariensis Sattarian,greenish,reduced flowers,wind,Cannabaceae tree; usually wind/insect mix,mixed_mating,likely_SC,inference,medium
Exacum L.,purple,actinomorphic,bees,Gentianaceae; bee-pollinated,mixed_mating,likely_SC,review;inference,medium
Phyllarthron DC.,white,tubular,moths,Bignoniaceae; nocturnal moth pollination,mixed_mating,likely_SC,inference,medium
Sloanea rhodantha (Baker) Capuron,white,actinomorphic,insects,Elaeocarpaceae,mixed_mating,likely_SC,inference,medium
Bulbophyllum vakonae Hermans,yellow,small orchid,flies,Fly pollination; some selfing,mixed_mating,likely_SC,inference,low
Cyperus niveus var. leucocephalus (Kunth) Fosberg,none,sedges,wind,Cyperaceae,mixed_mating,unknown,flora,high
Sabicea diversifolia Pers.,white,rubiaceous,insects,Psychotrieae; insect visitors,mixed_mating,likely_SC,inference,medium
Stephanostegia hildebrandtii Baill.,white,tubular apocynoid,moths,Apocynaceae; nocturnal,mixed_mating,likely_SC,inference,medium
Tricalysia cryptocalyx Baker,white,rubiaceous,insects,Rubiaceae,mixed_mating,likely_SC,inference,medium
Abrahamia ditimena (H.Perrier) Randrian. & Lowry,white,actinomorphic,insects,Anacardiaceae,mixed_mating,likely_SC,inference,medium
Aerangis fastuosa (Rchb.f.) Schltr.,white,long-spurred orchid,moths,Hawkmoth-pollinated,obligate_outcrossing,unknown,review;inference,medium
SH1258300.09FU,unknown,unknown,unknown,No taxonomic reference,unknown,unknown,inference,low
Tarenna spiranthera (Drake) Homolle,white,rubiaceous,insects,Rubiaceae,mixed_mating,likely_SC,inference,medium
Bonamia spectabilis (Bojer ex Choisy) Hallier fil.,white,funnel-shaped,bees,Convolvulaceae; bee visitors,mixed_mating,likely_SC,inference,medium
Cassipourea Aubl.,white,actinomorphic,insects,Rhizophoraceae; insect pollination,mixed_mating,likely_SC,inference,medium
Diospyros leucocalyx Hiern,white,tubular,bees,Dioecious Ebenaceae; SI,obligate_outcrossing,SI,review,high
Gaertnera obovata Baker,white,rubiaceous,insects,Insect visitors,mixed_mating,likely_SC,inference,medium
Noronhia linocerioides H.Perrier,greenish,small,insects,Oleaceae insect-pollinated,mixed_mating,likely_SC,inference,medium
Vanilla madagascariensis Rolfe,white,large orchid,bees,Vanilla generally bee-pollinated; hand-selfing possible,mixed_mating,likely_SC,review;inference,medium
Angraecum didieri (Baill. ex Finet) Schltr.,white,spurred orchid,moths,Nocturnal hawkmoth pollination,obligate_outcrossing,unknown,review;inference,medium
Dalbergia tricolor var. breviracemosa Bosser & R.Rabev,white,papilionoid,bees,Legume tree; bee-pollinated,mixed_mating,likely_SC,inference,medium
Dichaetanthera Endl.,purple,melastome,bees,Buzz-pollinated Melastomataceae,mixed_mating,likely_SC,review;inference,medium
Fenerivia Diels,white,actinomorphic,beetles,Annonaceae; beetle pollination,mixed_mating,likely_SC,review;inference,medium
Fernandoa madagascariensis (Baker) A.H.Gentry,orange-yellow,tubular bignoniaceae,birds,Bird-pollinated Bignoniaceae,obligate_outcrossing,likely_SI,review;inference,medium
Paracarphalea pervilleana (Baill.) Razafim.,white,rubiaceous,insects,Insect-pollinated,mixed_mating,likely_SC,inference,medium
Strychnos spinosa Lam.,greenish-white,actinomorphic,insects,Loganiaceae; insect visitors,mixed_mating,likely_SC,inference,medium
Tisonia Baill.,white,tubular,insects,Thymelaeaceae; insect visitors,mixed_mating,likely_SC,inference,low
Brachystephanus lyallii Nees,purple,zygomorphic,insects,Acanthaceae; bee/butterfly visitors,mixed_mating,likely_SC,inference,medium
Dicoma incana O.Hoffm.,purple,composite head,insects,Asteraceae; generalist pollination,mixed_mating,likely_SC,review;inference,medium
Diospyros ultima G.E.Schatz & Lowry,white,tubular,bees,Dioecious Ebenaceae,obligate_outcrossing,SI,review,high
Mallotus oppositifolius (Geiseler) Müll.Arg.,greenish,unisexual,insects,Euphorbiaceae; dioecious,obligate_outcrossing,SI,review;inference,medium
Melicope madagascariensis (Baker) T.G.Hartley,greenish,actinomorphic,insects,Rutaceae insect-pollinated,mixed_mating,likely_SC,inference,medium
Rhus thouarsii (Engl.) H.Perrier,white,small,insects,Anacardiaceae,mixed_mating,likely_SC,inference,medium
Sarcolaena multiflora Thouars,white,actinomorphic,insects,Sarcolaenaceae; insect visitors,mixed_mating,likely_SC,inference,medium
Canarium multiflorum Engl.,greenish,actinomorphic,insects,Burseraceae; insect pollination,mixed_mating,likely_SC,inference,medium
Croton argyrodaphne Baill.,yellow,unisexual,insects,Croton; bee/flies,mixed_mating,likely_SC,inference,medium
Physena sessiliflora Tul.,white,actinomorphic,insects,Physenaceae endemic; insect visitors,mixed_mating,likely_SC,inference,low
Senna leandrii (Ghesq.) Du Puy,yellow,caesalpinioid,bees,Fabaceae; bee-pollination,mixed_mating,likely_SC,inference,medium
Sporobolus centrifugus (Trin.) Nees,greenish,none,wind,"As a grass in the Poaceae, flower structures are reduced and wind pollination is the dominant mechanism typical of the genus Sporobolus; many dropseeds show high self-fertilization within ensheathed panicles",mainly_selfing,likely_SI,inference,medium
Pycreus polystachyos (Rottb.) P.Beauv.,greenish to brownish,none,wind,Pycreus (formerly Cyperus polystachyos) is a sedge (Cyperaceae) with reduced flowers; sedges are generally wind-pollinated with small spikelets,obligate_outcrossing,likely_SI,flora,high  [oai_citation:0‡Plants of the World Online](https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A77170728-1?utm_source=chatgpt.com)
Radamaea montana Benth.,white to cream,actinomorphic,bees & flies,"Radamaea (Gentianaceae) produces showy open flowers typical of insect pollination, likely generalist bees and flies; species-level studies lacking",mixed_mating,likely_SI,inference,low
